Query	Taxid	Tax name	Authority	Rank	Basionym	Basionym authority	Curator common name	Has type material	Group name	Superkingdom name	Superkingdom taxid	Kingdom name	Kingdom taxid	Phylum name	Phylum taxid	Class name	Class taxid	Order name	Order taxid	Family name	Family taxid	Genus name	Genus taxid	Species name	Species taxid
Thunnus albacares	8236	Thunnus albacares	(Bonnaterre, 1788)	SPECIES	Scomber albacares	Bonnaterre, 1788	yellowfin tuna	no	bony fishes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Actinopteri	186623	Scombriformes	1489894	Scombridae	8224	Thunnus	8234	Thunnus albacares	8236
Manis pentadactyla	143292	Manis pentadactyla	Linnaeus, 1758	SPECIES			Chinese pangolin	no	placentals	Eukaryota	2759	Metazoa	33208	Chordata	7711	Mammalia	40674	Pholidota	9971	Manidae	9972	Manis	9973	Manis pentadactyla	143292
Planococcus citri	170843	Planococcus citri	(Risso, 1913)	SPECIES			citrus mealybug	no	scale insects	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Hemiptera	7524	Pseudococcidae	30190	Planococcus	40929	Planococcus citri	170843
Esox lucius	8010	Esox lucius	Linnaeus, 1758	SPECIES			northern pike	no	bony fishes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Actinopteri	186623	Esociformes	8007	Esocidae	8008	Esox	8009	Esox lucius	8010
Passer domesticus	48849	Passer domesticus	(Linnaeus, 1758)	SPECIES	Fringilla domestica	Linnaeus, 1758	house sparrow	no	birds	Eukaryota	2759	Metazoa	33208	Chordata	7711	Aves	8782	Passeriformes	9126	Passeridae	9158	Passer	9159	Passer domesticus	48849
Scatophagus argus	75038	Scatophagus argus		SPECIES	Chaetodon argus	Linnaeus, 1766		no	bony fishes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Actinopteri	186623			Scatophagidae	30869	Scatophagus	75037	Scatophagus argus	75038
Gymnogyps californianus	33616	Gymnogyps californianus		SPECIES	Vultur californianus	Shaw, 1797	California condor	no	hawks & eagles	Eukaryota	2759	Metazoa	33208	Chordata	7711	Aves	8782	Accipitriformes	2558200	Cathartidae	8922	Gymnogyps	33615	Gymnogyps californianus	33616
Nomascus leucogenys	61853	Nomascus leucogenys		SPECIES	Hylobates leucogenys	Ogilby, 1840	northern white-cheeked gibbon	no	primates	Eukaryota	2759	Metazoa	33208	Chordata	7711	Mammalia	40674	Primates	9443	Hylobatidae	9577	Nomascus	325165	Nomascus leucogenys	61853
Pectinophora gossypiella	13191	Pectinophora gossypiella	(Saunders, 1844)	SPECIES	Depressaria gossypiella	Saunders, 1844	pink bollworm	no	moths	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Lepidoptera	7088	Gelechiidae	32434	Pectinophora	13190	Pectinophora gossypiella	13191
Desmodus rotundus	9430	Desmodus rotundus		SPECIES	Phyllostoma rotundum	Geoffroy, 1810	common vampire bat	no	bats	Eukaryota	2759	Metazoa	33208	Chordata	7711	Mammalia	40674	Chiroptera	9397	Phyllostomidae	9415	Desmodus	9429	Desmodus rotundus	9430
Rana temporaria	8407	Rana temporaria		SPECIES	Rana temporaria	Linnaeus, 1758	common frog	no	frogs & toads	Eukaryota	2759	Metazoa	33208	Chordata	7711	Amphibia	8292	Anura	8342	Ranidae	8397	Rana	8399	Rana temporaria	8407
Acanthochromis polyacanthus	80966	Acanthochromis polyacanthus	(Bleeker, 1855)	SPECIES	Dascyllus polyacanthus	Bleeker, 1855	spiny chromis	no	bony fishes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Actinopteri	186623			Pomacentridae	30863	Acanthochromis	80965	Acanthochromis polyacanthus	80966
Lepeophtheirus salmonis	72036	Lepeophtheirus salmonis	(Kroyer, 1837)	SPECIES			salmon louse	no	crustaceans	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Hexanauplia	72037	Siphonostomatoida	72033	Caligidae	72034	Lepeophtheirus	72035	Lepeophtheirus salmonis	72036
Daphnia pulicaria	35523	Daphnia pulicaria	Forbes, 1893	SPECIES				no	crustaceans	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Branchiopoda	6658	Diplostraca	84337	Daphniidae	77658	Daphnia	6668	Daphnia pulicaria	35523
Ostrea edulis	37623	Ostrea edulis	Linnaeus, 1758	SPECIES				no	bivalves	Eukaryota	2759	Metazoa	33208	Mollusca	6447	Bivalvia	6544	Ostreida	6562	Ostreidae	6563	Ostrea	37858	Ostrea edulis	37623
Oncorhynchus keta	8018	Oncorhynchus keta	(Walbaum, 1792)	SPECIES	Salmo keta	Walbaum, 1792	chum salmon	no	bony fishes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Actinopteri	186623	Salmoniformes	8006	Salmonidae	8015	Oncorhynchus	8016	Oncorhynchus keta	8018
Salvelinus namaycush	8040	Salvelinus namaycush	(Walbaum, 1792)	SPECIES	Salmo namaycush	Walbaum, 1792	lake trout	no	bony fishes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Actinopteri	186623	Salmoniformes	8006	Salmonidae	8015	Salvelinus	8033	Salvelinus namaycush	8040
Bufo gargarizans	30331	Bufo gargarizans	Cantor, 1842	SPECIES			Asiatic toad	no	frogs & toads	Eukaryota	2759	Metazoa	33208	Chordata	7711	Amphibia	8292	Anura	8342	Bufonidae	8382	Bufo	8383	Bufo gargarizans	30331
Clupea harengus	7950	Clupea harengus	Linnaeus, 1758	SPECIES			Atlantic herring	no	bony fishes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Actinopteri	186623	Clupeiformes	32446	Clupeidae	55118	Clupea	7949	Clupea harengus	7950
Penaeus chinensis	139456	Penaeus chinensis	(Osbeck, 1765)	SPECIES				no	crustaceans	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Malacostraca	6681	Decapoda	6683	Penaeidae	6685	Penaeus	133894	Penaeus chinensis	139456
Falco peregrinus	8954	Falco peregrinus	Tunstall, 1771	SPECIES			peregrine falcon	no	birds	Eukaryota	2759	Metazoa	33208	Chordata	7711	Aves	8782	Falconiformes	8948	Falconidae	8949	Falco	8952	Falco peregrinus	8954
Hirundo rustica	43150	Hirundo rustica	Linnaeus, 1758	SPECIES			Barn swallow	no	birds	Eukaryota	2759	Metazoa	33208	Chordata	7711	Aves	8782	Passeriformes	9126	Hirundinidae	43148	Hirundo	43149	Hirundo rustica	43150
Prionailurus bengalensis	37029	Prionailurus bengalensis	(Kerr, 1792)	SPECIES	Felis bengalensis	Kerr, 1792	leopard cat	no	carnivores	Eukaryota	2759	Metazoa	33208	Chordata	7711	Mammalia	40674	Carnivora	33554	Felidae	9681	Prionailurus	37028	Prionailurus bengalensis	37029
Pan paniscus	9597	Pan paniscus	Schwarz, 1929	SPECIES			pygmy chimpanzee	no	primates	Eukaryota	2759	Metazoa	33208	Chordata	7711	Mammalia	40674	Primates	9443	Hominidae	9604	Pan	9596	Pan paniscus	9597
